---------------------------------------------------------------------------------------------
Eingabedaten: 
---------------------------------------------------------------------------------------------
Startwert    : [    2.70000000000 ,    2.70000000000 ] 
nmax         :     50.00000000000
delta        :      0.90000000000
rho          :      0.50000000000
Toleranzwert :      0.00000000010
exakter Wert : [   -0.72979373780 ,    1.57079632679 ] 
.
---------------------------------------------------------------------------------------------
  c |             xn(1) |             xn(2) |       xn - x* |         f(xn) |         alpha
---------------------------------------------------------------------------------------------
  1 |     2.69469182743 |     0.56086372813 | 3.57030324206 | 4.59054283549 | 1.00000000000 
  2 |     2.63492494047 |     0.78427605719 | 3.45542268302 | 4.57084520103 | 0.01562500000 
  3 |     2.55632684822 |     0.95753469192 | 3.34285481866 | 4.46301881354 | 0.03125000000 
  4 |     2.43860141770 |     1.12654129955 | 3.19938906521 | 4.22501868576 | 0.06250000000 
  5 |     2.25557199674 |     1.28884675131 | 2.99865038511 | 3.75492029659 | 0.12500000000 
  6 |     1.96751005262 |     1.42940115135 | 2.70100728127 | 2.91718062553 | 0.25000000000 
  7 |     1.52639161407 |     1.52687840430 | 2.25661275497 | 1.66180793301 | 0.50000000000 
  8 |     0.93940930467 |     1.56967838365 | 1.66920341683 | 0.34638124530 | 1.00000000000 
  9 |     0.75343477245 |     1.57064429559 | 1.48322851804 | 0.03458761601 | 1.00000000000 
 10 |     0.73017251310 |     1.57079255658 | 1.45996625091 | 0.00054116053 | 1.00000000000 
 11 |     0.72979383948 |     1.57079632520 | 1.45958757728 | 0.00000014341 | 1.00000000000 
 12 |     0.72979373780 |     1.57079632679 | 1.45958747559 | 0.00000000000 | 1.00000000000 
